epoch,acc,loss,lr,val_acc,val_loss
81,0.9301199999809265,0.3418294185733795,1e-04,0.8912,0.4708366948127747
82,0.9355000000381469,0.32386350603103636,1e-04,0.8968,0.4586546765327454
83,0.938199999961853,0.3151394616794586,1e-04,0.8969,0.45398908581733705
84,0.941019999961853,0.306680312166214,1e-04,0.8982,0.4560570620059967
85,0.9431400000190735,0.3032052617263794,1e-04,0.8975,0.45280878453254697
86,0.9443599999809266,0.29831179926872253,1e-04,0.8972,0.45642770404815675
87,0.9451400000190735,0.29474898811340333,1e-04,0.8972,0.45787177934646606
88,0.94528,0.294487996931076,1e-04,0.8969,0.4583572153568268
89,0.949100000038147,0.2846990466880798,1e-04,0.8991,0.4605457760810852
90,0.9460800000190734,0.28787794651985166,1e-04,0.8979,0.45879394187927247
91,0.9468799999809265,0.28658110348701477,1e-04,0.9006,0.4531092632293701
92,0.94824,0.2836492001390457,1e-04,0.8972,0.4622018097877502
93,0.94814,0.2813284575653076,1e-04,0.8985,0.4655929733276367
94,0.94988,0.27787758182525635,1e-04,0.8979,0.46139815859794614
95,0.9496399999809265,0.2766662312412262,1e-04,0.895,0.47813263053894045
96,0.9513799999809265,0.27576870929718017,1e-04,0.8974,0.46016351375579834
97,0.9515399999809265,0.27155876934051515,1e-04,0.9005,0.46116599192619323
98,0.9505799999809265,0.2717553930091858,1e-04,0.8957,0.47298647117614745
99,0.9506600000190735,0.27246526406288146,1e-04,0.9006,0.4513197611808777
100,0.95248,0.2674183908843994,1e-04,0.8939,0.4692254773139954
101,0.9527199999618531,0.2670188622570038,1e-04,0.8963,0.47500317268371584
102,0.952099999961853,0.26754053628444674,1e-04,0.8989,0.45970985264778136
103,0.95246,0.26600190844535826,1e-04,0.8984,0.4589031206130981
104,0.9513999999809265,0.26534917815208436,1e-04,0.8919,0.49167835006713867
105,0.9536599999809265,0.2596175371265411,1e-04,0.8979,0.4658347664833069
106,0.953839999961853,0.25957836119651795,1e-04,0.896,0.4711919620990753
107,0.9539000000190735,0.2605717079734802,1e-04,0.901,0.47130767693519593
108,0.9548599999809265,0.2571095900821686,1e-04,0.8971,0.46816206703186036
109,0.9541800000190734,0.2562619398021698,1e-04,0.8986,0.4659107988834381
110,0.95478,0.25590154388904574,1e-04,0.9011,0.4585129324913025
111,0.9555999999618531,0.25256333917617796,1e-04,0.9031,0.45265755620002746
112,0.955360000038147,0.25331670711517335,1e-04,0.8984,0.47360820560455325
